2020-10-29 01:56:33,085 INFO [Thread-665] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-665,10,main]
2020-10-29 01:56:35,757 INFO [Thread-668] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-668,10,main]
2020-10-29 02:00:00,026 INFO [xxl-rpc, EmbedServer bizThreadPool-397616921] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@57524e41
2020-10-29 02:00:00,052 INFO [xxl-rpc, EmbedServer bizThreadPool-397616921] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@5995badb
2020-10-29 02:01:33,036 INFO [Thread-671] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-671,10,main]
2020-10-29 02:01:35,527 INFO [Thread-674] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-674,10,main]
2020-10-29 02:05:00,046 INFO [xxl-rpc, EmbedServer bizThreadPool-217621973] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@3e4469f5
2020-10-29 02:05:00,072 INFO [xxl-rpc, EmbedServer bizThreadPool-217621973] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@3083804d
2020-10-29 02:06:33,055 INFO [Thread-677] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-677,10,main]
2020-10-29 02:06:35,547 INFO [Thread-680] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-680,10,main]
2020-10-29 02:10:00,033 INFO [xxl-rpc, EmbedServer bizThreadPool-893881330] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@71db2c19
2020-10-29 02:10:00,058 INFO [xxl-rpc, EmbedServer bizThreadPool-893881330] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@7f1cdc52
2020-10-29 02:11:33,067 INFO [Thread-686] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-686,10,main]
2020-10-29 02:11:35,665 INFO [Thread-683] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-683,10,main]
2020-10-29 02:15:00,028 INFO [xxl-rpc, EmbedServer bizThreadPool-1069726025] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@28c61d6b
2020-10-29 02:15:00,045 INFO [xxl-rpc, EmbedServer bizThreadPool-1069726025] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@2601e603
2020-10-29 02:16:33,037 INFO [Thread-689] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-689,10,main]
2020-10-29 02:16:35,549 INFO [Thread-692] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-692,10,main]
2020-10-29 02:20:00,034 INFO [xxl-rpc, EmbedServer bizThreadPool-171104123] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@277f5a5
2020-10-29 02:20:00,060 INFO [xxl-rpc, EmbedServer bizThreadPool-171104123] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@cb00b9b
